UID: 57694815
Time,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Fee Rate,Trade ID,Order ID
2024-01-31 00:55:58,USDT,BTCUSDT,trade,Open Short,0.5260,1.2750,42875.00000000,0E-8,2.25522500,0E-8,-2.25522500,9104.44311359,0.00010000,c8bbc218-5bc9-5dcc-a418-5ba24d561667,c0bd5618-9474-4257-acf6-909f1873122e
2024-01-31 00:55:58,USDT,BTCUSDT,trade,Open Short,0.1260,1.4010,42875.00000000,0E-8,0.54022500,0E-8,-0.54022500,9103.90288859,0.00010000,aa9e5b45-e8a4-58c7-ac35-cd82e8e2557a,c0bd5618-9474-4257-acf6-909f1873122e
2024-01-31 00:55:58,USDT,BTCUSDT,trade,Open Short,0.0380,0.7490,42875.00000000,0E-8,0.16292500,0E-8,-0.16292500,9106.69833859,0.00010000,f225c06b-2e70-5fc3-ad10-19b0085368f3,c0bd5618-9474-4257-acf6-909f1873122e
2024-01-24 00:59:46,USDT,BTCUSDT,trade,Close Long,0.1860,0.0000,40157.60000000,0E-8,2.42379227,280.08385739,277.66006512,9109.90967609,0.00032450,051701f1-3063-5bd8-82bf-0638a741d947,4eaa4adc-29ed-4c21-8989-a885d72a861a
2024-01-24 00:59:46,USDT,BTCUSDT,trade,Close Long,0.0100,0.1860,40157.60000000,0E-8,0.13031142,15.05827191,14.92796049,8832.24961097,0.00032450,276fe9c1-c702-546c-b116-65aaefc77053,4eaa4adc-29ed-4c21-8989-a885d72a861a
2024-01-24 00:59:46,USDT,BTCUSDT,trade,Close Long,0.4660,0.1960,40157.60000000,0E-8,6.07251180,701.71547070,695.64295890,8817.32165048,0.00032450,34af9b32-4d99-5786-b1fc-d8ae2634f314,4eaa4adc-29ed-4c21-8989-a885d72a861a
2024-01-24 00:00:00,USDT,BTCUSDT,funding,Open Long,0.6620,0.6620,39898.63000000,2.64128931,2.64128931,0E-8,-2.64128931,8121.67869158,0.00010000,f8ff71a0-e443-4e12-b135-7c13e8e505f9,8e669d22-4249-4263-aa35-602c1ea0c5c7
2024-01-23 16:00:00,USDT,BTCUSDT,funding,Open Long,0.6620,0.6620,39197.21000000,2.59485531,2.59485531,0E-8,-2.59485531,8124.31998089,0.00010000,08bf3c2f-575a-45f1-96b9-7e4b8b2f6ecd,e17b7372-e1d4-490f-9d93-763aa9f5fc3d
2024-01-23 15:43:18,USDT,BTCUSDT,trade,Close Long,0.6620,0.6620,39246.40000000,0E-8,8.43087241,393.64320000,385.21232759,8126.91483620,0.00032450,fcb699b5-6881-5e3b-ac79-aaa2f27c1279,174b7c1f-5664-4803-8ee4-5e223a469243
2024-01-23 14:09:22,USDT,BTCUSDT,trade,Open Long,0.0080,0.9410,38652.00000000,0E-8,0.10034060,0E-8,-0.10034060,7746.50653808,0.00032450,31fb9862-a77d-53d8-9fdd-6046f138f5a0,e787dbff-39db-4e43-bbd4-3151e9d042d4
2024-01-23 14:09:22,USDT,BTCUSDT,trade,Open Long,0.0210,0.0210,38650.10000000,0E-8,0.26338111,0E-8,-0.26338111,7758.04539791,0.00032450,721fd4e0-65ee-5a8a-b686-2c3d1ca3d77d,e787dbff-39db-4e43-bbd4-3151e9d042d4
2024-01-23 14:09:22,USDT,BTCUSDT,trade,Open Long,0.5000,0.5210,38650.10000000,0E-8,6.27097873,0E-8,-6.27097873,7751.77441918,0.00032450,acc8a803-e2bc-50f9-893c-fcbee126a4c1,e787dbff-39db-4e43-bbd4-3151e9d042d4
2024-01-23 14:09:22,USDT,BTCUSDT,trade,Open Long,0.0010,0.9420,38653.50000000,0E-8,0.01254307,0E-8,-0.01254307,7746.49399501,0.00032450,f1c8215f-3c5e-537b-b54f-5dba32bb26b5,e787dbff-39db-4e43-bbd4-3151e9d042d4
2024-01-23 14:09:22,USDT,BTCUSDT,trade,Open Long,0.2960,0.8170,38652.00000000,0E-8,3.71260191,0E-8,-3.71260191,7748.06181727,0.00032450,cf75f1d4-7063-5a39-abaa-d2c04309cfd6,e787dbff-39db-4e43-bbd4-3151e9d042d4
2024-01-23 14:09:22,USDT,BTCUSDT,trade,Open Long,0.1160,0.9330,38652.00000000,0E-8,1.45493859,0E-8,-1.45493859,7746.60687868,0.00032450,da5023e7-9bce-5660-bbb5-66952012dcf2,e787dbff-39db-4e43-bbd4-3151e9d042d4
2024-01-23 14:09:22,USDT,BTCUSDT,trade,Open Long,0.3820,1.3240,38653.80000000,0E-8,4.79148640,0E-8,-4.79148640,7741.70250861,0.00032450,b0d49128-b36a-54d9-965e-fbf5f7c20e4b,e787dbff-39db-4e43-bbd4-3151e9d042d4
2024-01-23 00:35:08,USDT,BTCUSDT,trade,Close Short,0.9870,0.0000,39800.00000000,0E-8,12.74720370,938.36830189,925.62109819,7758.30877902,0.00032450,ef0b24ed-8a13-5dd8-b8d1-05f23da062a5,ab982658-fef6-473a-a055-48cb3d816b7c
2024-01-23 00:35:08,USDT,BTCUSDT,trade,Close Short,0.1260,0.9870,39798.60000000,0E-8,1.62724536,119.96809811,118.34085275,6832.68768083,0.00032450,603f5633-caf8-561d-b700-bc30b298e17f,ab982658-fef6-473a-a055-48cb3d816b7c
2024-01-23 00:00:00,USDT,BTCUSDT,funding,Open Short,1.1130,1.1130,39559.30000000,-4.40295009,-4.40295009,0E-8,4.40295009,6714.34682808,-0.00010000,8054f925-8f0b-4005-b171-5d42c948e427,9d2736c6-f3d7-420d-8496-5c54063010f9
2024-01-22 22:11:48,USDT,BTCUSDT,trade,Open Short,0.6200,1.1130,39980.00000000,0E-8,2.47876000,0E-8,-2.47876000,6709.94387799,0.00010000,fe05e861-dd87-591e-bb09-73115218296f,0254f3a6-af84-49e4-832f-5a924d3e84c4
2024-01-22 16:00:00,USDT,BTCUSDT,funding,Open Short,0.4930,0.4930,40769.60000000,-2.00994128,-2.00994128,0E-8,2.00994128,6712.42263799,-0.00010000,6ebf0fdb-589f-49a1-be03-256e6f24e4fd,bddc0502-cd50-4c51-bcae-d91319fdc0aa
2024-01-22 08:00:00,USDT,BTCUSDT,funding,Open Short,0.4930,0.4930,41047.80000000,-2.02365654,-2.02365654,0E-8,2.02365654,6710.41269671,-0.00010000,e9115c4d-6ea3-4708-b36f-9381187f0c58,de99ffda-07aa-47c3-9ccf-4ff0ab7f2794
2024-01-22 05:13:23,USDT,BTCUSDT,trade,Close Short,0.0490,0.6390,40775.50000000,0E-8,0.64835084,46.28050000,45.63214916,6572.42386104,0.00032450,95ca9ce5-30c4-59d5-a9a0-5d09b5689e4d,033bc9f0-4134-4223-8db9-059516841a77
2024-01-22 05:13:23,USDT,BTCUSDT,trade,Close Short,0.1880,0.7980,40775.50000000,0E-8,2.48755016,177.56600000,175.07844984,6424.35219336,0.00032450,0bec23bf-c8ae-5350-8df6-d4f99df3adec,033bc9f0-4134-4223-8db9-059516841a77
2024-01-22 05:13:23,USDT,BTCUSDT,trade,Close Short,0.0870,0.4930,40775.50000000,0E-8,1.15115353,82.17150000,81.02034647,6708.38904017,0.00032450,2c1725bd-cab4-5272-85fc-eaad5160cfd7,033bc9f0-4134-4223-8db9-059516841a77
2024-01-22 05:13:23,USDT,BTCUSDT,trade,Close Short,0.0050,0.6290,40775.50000000,0E-8,0.06615825,4.72250000,4.65634175,6581.73654454,0.00032450,34f691d3-e5d8-5404-9f22-1f9013432cff,033bc9f0-4134-4223-8db9-059516841a77
2024-01-22 05:13:23,USDT,BTCUSDT,trade,Close Short,0.1100,0.6880,40775.50000000,0E-8,1.45548148,103.89500000,102.43951852,6526.79171188,0.00032450,e7ebe32d-b580-51d2-b747-ae60bb4f8ba6,033bc9f0-4134-4223-8db9-059516841a77
2024-01-22 05:13:23,USDT,BTCUSDT,trade,Close Short,0.0050,0.6340,40775.50000000,0E-8,0.06615825,4.72250000,4.65634175,6577.08020279,0.00032450,23a22d15-7f8f-5ad1-94c7-8f21ba04cf90,033bc9f0-4134-4223-8db9-059516841a77
2024-01-22 05:13:23,USDT,BTCUSDT,trade,Close Short,0.0490,0.5800,40775.50000000,0E-8,0.64835084,46.28050000,45.63214916,6627.36869370,0.00032450,5a543ec6-e18b-5391-bade-f18a353e8b3a,033bc9f0-4134-4223-8db9-059516841a77
2024-01-22 00:00:00,USDT,BTCUSDT,funding,Open Short,0.9860,0.9860,41585.59000000,-4.10033917,-4.10033917,0E-8,4.10033917,6249.27374352,-0.00010000,fd26c941-73e2-4fd6-9d05-d800f0c14735,53ce351b-badf-4fd2-826b-da672819d5c4
2024-01-21 16:00:00,USDT,BTCUSDT,funding,Open Short,0.9860,0.9860,41647.34000000,-4.10642772,-4.10642772,0E-8,4.10642772,6245.17340435,-0.00010000,eb0539c1-a258-408d-a66b-65795e29c088,517c8aab-68bd-4b61-a8d0-a31ecce983c1
2024-01-21 08:00:00,USDT,BTCUSDT,funding,Open Short,0.9860,0.9860,41641.97000000,-4.10589824,-4.10589824,0E-8,4.10589824,6241.06697663,-0.00010000,16a732e9-5110-4125-bfa2-1d244c859b1b,25633191-1242-4e39-b565-5e7470541361
2024-01-21 00:00:00,USDT,BTCUSDT,funding,Open Short,0.9860,0.9860,41694.13000000,-4.11104121,-4.11104121,0E-8,4.11104121,6236.96107839,-0.00010000,6d54a755-36b7-45ed-a137-ac4165cee38c,ea7c8f7b-a2c1-431a-96f6-4d85a067a186
2024-01-20 22:28:45,USDT,BTCUSDT,trade,Open Short,0.9860,0.9860,41720.00000000,0E-8,4.11359200,0E-8,-4.11359200,6232.85003718,0.00010000,c4418448-8c77-5951-bfe6-e08a63501aeb,af8d9bc1-ebfd-4eb6-a94e-73208f2441ba
2024-01-20 22:28:01,USDT,,transferIn,,,,,0E-8,0E-8,1000.00000000,1000.00000000,6236.96362918,0E-8,,
2024-01-20 04:18:55,USDT,,transferOut,,,,,0E-8,0E-8,-800.00000000,-800.00000000,5236.96362918,0E-8,,
2024-01-17 04:30:31,USDT,BTCUSDT,trade,Close Long,0.9680,0.0000,42800.00000000,0E-8,13.44416480,-290.40000000,-303.84416480,6036.96362918,0.00032450,c9441018-7d04-56dd-9c60-98697266a7b7,e52ee816-2e4a-40f1-a74c-f61b6ac89198
2024-01-17 00:10:24,USDT,BTCUSDT,trade,Open Long,0.9680,0.9680,43100.00000000,0E-8,4.17208000,0E-8,-4.17208000,6340.80779398,0.00010000,77b996a4-9dc5-5e15-aaa4-3f0a504d7149,b5a14ea8-4636-4146-b530-2a19886db829
