UID: 57694815
Uid,Type,Coin,Amount,Wallet Balance,Time(UTC)
57694815,internalAccountTransferWithdrawal,USDT,-1000.000000000000000000,6936.837388772000000000,2024-01-20 22:28:01
57694815,tradingFee,USDT,-2.772618360000000000,7736.131044024000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-1208.850000000000000000,87.619085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,2772.618360000000000000,7738.903662384000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.037600290000000000,4966.285302384000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.200907252000000000,7936.837388772000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-87.610000000000000000,0.009085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,200.907252000000000000,7937.038296024000000000,2024-01-20 04:44:09
57694815,trade,USDT,2.984540000000000000,4889.167819589000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.722932992000000000,4886.183279589000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-314.880000000000000000,1331.399085446983859582,2024-01-20 04:44:09
57694815,trade,MANTA,-17.250000000000000000,1312.849085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,39.597375000000000000,4928.762210049000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.002984540000000000,4889.164835049000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-1.300000000000000000,1330.099085446983859582,2024-01-20 04:44:09
57694815,trade,MANTA,-16.380000000000000000,1296.469085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,37.600290000000000000,4966.322902674000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.039597375000000000,4928.722612674000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.499051180000000000,4163.973220581000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-217.300000000000000000,1646.279085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,499.051180000000000000,4164.472271761000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-2.398088880000000000,3665.421091761000000000,2024-01-20 04:44:09
57694815,trade,USDT,722.932992000000000000,4886.906212581000000000,2024-01-20 04:44:09
57694815,trade,USDT,521.073000000000000000,771.544807413000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.250714112000000000,250.471807413000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-109.120000000000000000,3351.799085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,250.714112000000000000,250.722521525000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.521073000000000000,771.023734413000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-226.800000000000000000,3124.999085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,499.205772000000000000,1270.229506413000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-1044.100000000000000000,1863.579085446983859582,2024-01-20 04:44:09
57694815,trade,USDT,2398.088880000000000000,3667.819180641000000000,2024-01-20 04:44:09
57694815,tradingFee,USDT,-0.499205772000000000,1269.730300641000000000,2024-01-20 04:44:09
57694815,trade,MANTA,-217.320000000000000000,2907.679085446983859582,2024-01-20 04:44:09
57694815,internalAccountTransferDeposit,MANTA,3460.919085446983859582,3460.919085446983859582,2024-01-20 04:41:25
57694815,,ETH,-0.321237290000000000,0.000000000000000000,2024-01-20 04:33:12
57694815,,ETH,-0.001150000000000000,0.321237290000000000,2024-01-20 04:29:16
57694815,tradingFee,ETH,-0.000322710000000000,0.322387290000000000,2024-01-20 04:19:46
57694815,trade,USDT,-799.991635800000000000,0.008409525000000000,2024-01-20 04:19:46
57694815,trade,ETH,0.322710000000000000,0.322710000000000000,2024-01-20 04:19:46
57694815,internalAccountTransferDeposit,USDT,800.000000000000000000,800.000045325000000000,2024-01-20 04:18:55
